0, 0, 0, 35, 56, 53, 56, 56, 53, 56, 56, 53, 56, 56, 53, 56, 
56, 53, 56, 56, 53, 56, 56, 53, 56, 56, 53, 56, 56, 53, 56, 56, 
53, 56, 66, 45, 45, 45, 68, 56, 56, 34,
0, 0, 0, 35, 56, 54, 56, 56, 54, 56, 56, 54, 56, 56, 54, 56, 
56, 54, 56, 56, 54, 56, 56, 54, 56, 56, 54, 56, 56, 54, 56, 56, 
54, 56, 66, 45, 45, 45, 68, 56, 56, 34,
0, 0, 0, 35, 57, 55, 57, 57, 55, 57, 57, 55, 57, 57, 55, 57, 
57, 55, 57, 57, 55, 57, 57, 55, 57, 57, 55, 57, 57, 55, 57, 57, 
55, 57, 67, 17, 17, 17, 69, 57, 57, 34,
0, 0, 0, 35, 25, 20, 20, 20, 20, 20, 20, 20, 24, 3, 3, 25, 
24, 30, 32, 31, 25, 24, 3, 3, 25, 24, 30, 32, 31, 25, 24, 3, 
3, 25, 24, 17, 17, 17, 25, 24, 3, 34,
0, 0, 0, 35, 18, 16, 16, 16, 16, 16, 16, 16, 19, 3, 3, 18, 
19, 0, 0, 0, 18, 19, 3, 3, 18, 19, 0, 0, 0, 18, 19, 3, 
3, 18, 27, 20, 20, 20, 26, 19, 3, 34,
0, 0, 0, 35, 22, 29, 16, 16, 16, 16, 16, 16, 19, 3, 3, 18, 
19, 0, 0, 0, 18, 19, 3, 3, 18, 19, 0, 0, 0, 18, 19, 3, 
3, 18, 16, 16, 16, 16, 16, 19, 3, 34,
0, 0, 0, 42, 38, 18, 16, 16, 16, 16, 16, 16, 19, 3, 3, 18, 
19, 0, 0, 0, 18, 19, 3, 3, 18, 19, 0, 0, 0, 18, 19, 3, 
3, 18, 16, 16, 16, 16, 16, 19, 3, 34,
0, 0, 0, 0, 35, 18, 16, 16, 16, 16, 16, 28, 23, 3, 3, 22, 
23, 0, 0, 0, 18, 19, 3, 3, 18, 19, 0, 0, 0, 18, 19, 3, 
3, 18, 16, 16, 16, 16, 16, 19, 3, 34,
0, 0, 0, 0, 35, 22, 21, 21, 21, 29, 16, 19, 37, 33, 33, 33, 
38, 0, 0, 0, 18, 19, 37, 38, 18, 19, 0, 0, 0, 18, 19, 37, 
